fd_code,fd_name,yield,sf_type,unit_nav,f_type
002334,汇丰晋信大盘波动A,4.5964,1,1.4177,fund
002121,广发沪港深新起点股票A,3.9349,1,1.3418,fund
002335,汇丰晋信大盘波动C,2.9702,1,1.3763,fund
003232,创金合信金融地产股票A,2.8021,1,1.0199,fund
000688,景顺长城研究精选,0.5754,1,1.5730,fund
003233,创金合信金融地产股票C,0.5256,1,0.9946,fund
160322,华夏港股通精选股票,0.2595,1,1.0819,fund
003312,大摩睿成中小盘弹性股票,0.2446,1,1.0246,fund
006923,前海开源沪港深非周期股票A,-1.8539,1,0.9900,fund
006924,前海开源沪港深非周期股票C,-2.5880,1,0.9824,fund
001223,鹏华文化传媒娱乐,-3.9894,1,1.0830,fund
001277,博时国企改革股票,-4.2579,1,0.7870,fund
003702,平安中证沪港深高股息,-5.0194,1,0.9802,fund
004098,前海开源港股通股息率50强,-6.2379,1,0.9199,fund
005240,银华文体娱乐量化优选C,-8.5888,1,0.9036,fund
005239,银华文体娱乐量化优选A,-8.8812,1,0.9008,fund
002387,工银沪港深股票A,-10.1499,1,1.0189,fund
006781,汇丰晋信港股通精选股票,-15.7721,1,0.8427,fund
005209,东吴双三角股票A,-16.0675,1,0.8102,fund
005210,东吴双三角股票C,-17.3163,1,0.7912,fund
005707,富国港股通量化精选股票,-18.0257,1,0.8354,fund
006381,华夏恒生ETF联接C,-28.2375,1,1.1238,fund
010002,创金合信研究精选股票C,,1,0.8818,fund
004272,中融量化小盘股票A,,1,1.0018,fund
014064,银华农业产业股票C,,1,2.1485,fund
010681,华夏新兴成长股票C,,1,0.7406,fund
014831,兴银中证1000指数增强A,,1,0.8869,fund
010196,易方达核心优势股票A,,1,0.7393,fund
015001,工银物流产业股票C,,1,3.2000,fund
011425,广发优势成长股票A,,1,0.6577,fund
006676,宝盈品牌消费股票C,,1,1.1623,fund
015053,东方红医疗升级股票发起C,,1,0.9972,fund
011042,国泰价值先锋股票A,,1,0.8209,fund
007614,德邦民裕进取量化精锐股票A,,1,1.3197,fund
013893,国联安科创50ETF联接A,,1,1.0000,fund
011685,创金合信先进装备股票A,,1,1.0230,fund
007714,南方贺元利率债A,,1,1.0313,fund
013445,东财中证芯片指数A,,1,0.7744,fund
012117,中银证券创业板发起式联接C,,1,0.8432,fund
008390,国联安沪深300ETF联接A,,1,1.1398,fund
010993,东财中证500C,,1,0.9869,fund
012080,易中证500量化增强A,,1,0.8765,fund
008167,工银消费股票C,,1,1.1633,fund
015497,华泰紫金中证医药50指数发起A,,1,1.0000,fund
011374,招商前沿医疗保健股票C,,1,0.7312,fund
009126,嘉实基础产业优选股票A,,1,1.1927,fund
003311,大摩睿成大盘弹性股票,,1,1.0361,fund
011883,招商蓝筹精选股票C,,1,0.7739,fund
006144,恒生前海中证质量成长低波动指数C,,1,1.2518,fund
011225,九泰盈泰量化股票C,,1,0.8177,fund
009147,建信新能源行业股票,,1,2.0327,fund
009877,中银内核驱动股票A,,1,0.8498,fund
013049,兴业能源革新股票A,,1,0.7588,fund
010003,景顺长城电子信息产业股票A,,1,1.0008,fund
012215,民生加银核心资产股票C,,1,0.8351,fund
010245,广发品牌消费股票C,,1,1.6029,fund
014046,交银医药创新股票C,,1,2.8068,fund
010586,创金合信医药消费股票C,,1,0.7501,fund
004189,华商消费行业,,1,1.3476,fund
014380,建信中国制造2025股票C,,1,2.4242,fund
010001,创金合信研究精选股票A,,1,0.8889,fund
004273,中融量化小盘股票C,,1,0.9913,fund
014455,中银成长优选股票C,,1,0.9239,fund
010391,易方达战略新兴产业股票A,,1,0.7201,fund
014832,兴银中证1000指数增强C,,1,0.8865,fund
010197,易方达核心优势股票C,,1,0.7357,fund
015002,工银生态环境股票C,,1,2.0720,fund
011426,广发优势成长股票C,,1,0.6546,fund
006106,景顺长城量化港股通,,1,0.8584,fund
015124,汇添富国企创新增长股票D,,1,1.8910,fund
010750,浙商创业板指数增强C,,1,0.9063,fund
007615,德邦民裕进取量化精锐股票C,,1,1.3069,fund
015468,嘉实农业产业股票C,,1,1.0220,fund
011686,创金合信先进装备股票C,,1,1.0176,fund
007715,南方贺元利率债C,,1,1.0302,fund
014238,东财中证新能源指数增强C,,1,0.7968,fund
011832,西部利得中证人工智能主题指数增强A,,1,0.7988,fund
008391,国联安沪深300ETF联接C,,1,1.1364,fund
008327,东财通信C,,1,0.8308,fund
012081,易中证500量化增强C,,1,0.8743,fund
008286,易方达研究精选股票,,1,1.1844,fund
014565,天弘恒生沪深港创新药精选50ETF发起联接C,,1,1.0000,fund
011373,招商前沿医疗保健股票A,,1,0.7360,fund
009127,嘉实基础产业优选股票C,,1,1.1808,fund
003070,光大创业板C,,1,1.4200,fund
009337,平安中证500指数增强型发起式证券投资基金C,,1,1.1492,fund
011224,九泰盈泰量化股票A,,1,0.8210,fund
007388,上投研究驱动A,,1,1.1536,fund
013262,西部利得个股精选股票C,,1,1.5773,fund
009491,宝盈创新驱动A,,1,1.0089,fund
013050,兴业能源革新股票C,,1,0.7564,fund
010004,景顺长城电子信息产业股票C,,1,0.9944,fund
013465,博时智选量化多因子股票A,,1,0.8664,fund
010387,易方达医药生物股票A,,1,0.5821,fund
014063,景顺专精特新量化股票C,,1,0.7218,fund
010420,民生加银成长优选股票,,1,0.7706,fund
014187,华夏量化优选股票A,,1,0.9085,fund
010495,创金合信创新驱动股票A,,1,0.7820,fund
