found_date,fd_code,manager_name,totshare,fd_full_name,keeper_name,unit_nav,keep_time,work_year
2014-09-23,000761,王晓宁,1009万,国富健康优质生活股票,国海富兰克林基金管理有限公司,1.6248,2014-09-23,19
2017-09-06,004686,刘文成,5亿,华夏研究精选股票,华夏基金管理有限公司,1.4518,2020-12-23,7
2015-12-11,001521,祁善斌 张琦,5亿,国寿安保成长优选股票,国寿安保基金管理有限公司,1.5000,2015-12-11,17
2017-07-07,004476,詹成,19亿,景顺长城沪港深领先科技基金,景顺长城基金管理有限公司,1.5850,2017-07-07,11
2017-11-09,005238,杨腾 马君,5919万,银华医疗健康C,银华基金管理股份有限公司,1.4132,2017-11-09,14
2006-08-07,519018,顾耀强,54亿,汇添富均衡前收费基金,汇添富基金公司,0.6569,2019-08-24,18
2016-07-13,001974,黎海威,14亿,景顺长城量化新动力,景顺长城基金管理有限公司,2.1310,2016-07-13,19
2018-02-06,005457,黎海威,7亿,景顺长城量化小盘股票,景顺长城基金管理有限公司,1.5225,2018-02-06,19
2018-03-23,005530,吴振翔 许一尊,4亿,汇添富沪深300指数增强A,汇添富基金管理股份有限公司,1.4999,2020-11-03,16
2018-09-20,006138,邹新进,6149万,国联安价值优选,国联安基金管理有限公司,1.8348,2018-09-20,18
2016-01-22,002210,孙悦 董梁,4亿,创金合信量化多因子股票A,创金合信基金管理有限公司,1.6845,2019-07-05,19
2003-04-28,217001,张西林,4亿,招商安泰偏股混合,招商基金管理有限公司,0.4249,2021-09-04,12
2015-03-26,001097,杜聪,1亿,华泰柏瑞积极优选,华泰柏瑞基金管理有限公司,0.8760,2020-08-26,8
2010-12-08,540009,范坤祥,2亿,汇丰晋信消费红利股票,汇丰晋信基金管理有限公司,0.8565,2021-03-13,15
2018-04-23,005802,董超,31亿,添富智能制造股票,汇添富基金管理股份有限公司,1.4463,2021-01-11,7
2017-06-28,004352,程敏,5895万,北信瑞丰研究精选,北信瑞丰基金管理有限公司,1.3738,2020-06-01,12
2018-04-03,005635,黄瑞庆 林景艺,2亿,博时量化多策略股票A,博时基金管理有限公司,1.4490,2018-04-03,20
2014-07-03,160133,蒋秋洁,18亿,南方天元新产业股票型证券投资基金,南方基金管理股份有限公司,3.3190,2015-06-16,14
2018-02-01,005612,胡宇飞,11亿,嘉实核心优势股票,嘉实基金管理有限公司,1.4190,2018-02-01,17
2019-01-17,005970,李海,1亿,国泰消费优选股票,国泰基金管理有限公司,1.4425,2019-08-15,11
2007-08-08,519694,王少成,21亿,交银施罗德蓝筹股票前收费基金,交银施罗德基金公司,0.7230,2018-09-28,18
2012-03-07,399011,梁静静,14亿,中海医疗保健主题股票,中海基金管理有限公司,1.4600,2021-07-30,7
2017-05-19,004450,王贵重 张丹华,21亿,嘉实前沿科技沪港深股票,嘉实基金管理有限公司,1.6164,2017-05-19,11
2015-09-01,001626,饶玉涵,7971万,国泰央企改革股票,国泰基金管理有限公司,1.6180,2016-01-08,12
2015-04-15,000979,鲍无可,18亿,景顺长城沪港深精选,景顺长城基金管理有限公司,1.5380,2016-05-28,14
2017-01-06,003865,孙悦 董梁,4亿,创金合信量化多因子股票C,创金合信基金管理有限公司,1.6224,2019-07-05,19
2015-06-02,001291,余斌,2亿,大摩华鑫量化多策略股票型证券投资基金,,1.1790,2019-08-20,15
2018-04-03,005636,黄瑞庆 林景艺,2亿,博时量化多策略股票C,博时基金管理有限公司,1.4023,2018-04-03,20
2015-06-09,001313,郭晨,6亿,上投摩根智慧互联股票,上投摩根基金管理有限公司,0.9446,2015-06-09,15
2015-12-10,001849,陆琦,1378万,前海开源强势共识100,前海开源基金管理有限公司,1.4470,2021-01-14,11
2014-01-02,000411,邓敬东 曾理,3915万,景顺长城优质成长基金,景顺长城基金管理有限公司,1.6120,2022-02-19,8
2010-06-22,460009,盛豪 田汉卿,9亿,华泰柏瑞量化先行,华泰柏瑞基金管理有限公司,1.9470,2015-03-18,28
2007-03-12,519068,李威 陈潇扬,66亿,汇添富焦点前收费基金,汇添富基金公司,2.5446,2021-12-31,14
2016-08-09,002871,孙蒙,3亿,华夏智胜价值成长股票A,华夏基金管理有限公司,1.2817,2020-03-17,8
2015-01-27,000955,蒋秋洁,4亿,南方产业活力,南方基金管理股份有限公司,1.3600,2019-03-15,14
2017-12-22,005328,肖立强,5269万,前海开源价值策略股票,前海开源基金管理有限公司,1.1674,2019-05-30,12
2018-09-03,006346,施荣盛,1亿,安信量化优选股票A,安信基金管理有限责任公司,1.7855,2020-01-13,9
2016-08-10,001703,周晶,3亿,银华沪港深增长股票,银华基金管理股份有限公司,1.9970,2018-12-27,16
2016-09-07,003053,王贵重,1亿,嘉实文体娱乐股票A,嘉实基金管理有限公司,1.4340,2020-08-21,8
2017-12-26,005113,俞瑶,5亿,平安沪深300指数量化增强A,平安基金管理有限公司,1.2771,2021-11-04,13
2019-01-22,006938,张羽翔,5亿,鹏华中证500指数证券投资基金（LOF）,鹏华基金公司,1.7210,2019-01-22,15
2018-02-01,005502,毛甜,4295万,华泰紫金智能量化股票发起A,华泰证券（上海）资产管理有限公司,1.2289,2018-03-10,12
2018-09-03,006347,施荣盛,1亿,安信量化优选股票C,安信基金管理有限责任公司,1.7625,2020-01-13,9
2016-09-07,003054,王贵重,1亿,嘉实文体娱乐股票C,嘉实基金管理有限公司,1.3980,2020-08-21,8
2018-05-25,005870,苏俊杰,4亿,鹏华沪深300指数增强,鹏华基金管理有限公司,1.3340,2021-03-05,10
2017-12-26,005114,俞瑶,5亿,平安沪深300指数量化增强C,平安基金管理有限公司,1.2445,2021-11-04,13
2011-06-16,163110,王剑 俞诚,6亿,申万菱信量化小盘股票型基金,申万菱信基金公司,2.0679,2020-04-15,13
2015-05-14,167503,施荣盛,1亿,安信一带一路指数,安信基金管理有限责任公司,1.5000,2021-01-01,9
2011-07-27,540010,陈平,5亿,汇丰晋信科技先锋股票,汇丰晋信基金管理有限公司,2.3402,2015-07-25,10
2016-07-22,002621,郭睿,26亿,中欧消费主题股票A,中欧基金管理公司,2.0110,2018-07-12,12
2018-02-11,005620,郭睿,7亿,中欧品质消费股票A,中欧基金管理公司,1.4517,2018-02-11,12
2016-08-09,002952,叶乐天,1216万,建信多因子量化,建信基金管理有限责任公司,1.2325,2016-08-09,14
2015-04-28,001188,王璐,5亿,鹏华改革红利,鹏华基金管理有限公司,1.1730,2021-08-13,7
2018-11-14,006193,罗杰 林启姜 丁玥,2亿,鑫元核心资产股票A,鑫元基金管理有限公司,1.3321,2018-11-14,13
2019-01-22,006939,张羽翔,16亿,鹏华沪深300指数证券投资基金（LOF）,鹏华基金公司,1.4110,2019-01-22,15
2006-04-06,200006,龙宇飞,10亿,长城消费,长城基金管理公司,1.1759,2017-10-18,11
2015-02-04,000978,黎海威,8亿,景顺长城量化精选基金,景顺长城基金管理有限公司,1.7410,2015-02-04,19
2018-06-26,005960,黄瑞庆 林景艺,1080万,博时量化价值股票A,博时基金管理有限公司,1.4085,2018-06-26,20
2016-07-22,002697,郭睿,26亿,中欧消费主题股票C,中欧基金管理公司,1.9810,2018-07-12,12
2009-06-24,540006,黄立华,21亿,汇丰晋信大盘股票A,汇丰晋信基金管理有限公司,4.4135,2020-07-11,15
2018-03-07,004805,姚奕帆,1449万,长信消费精选股票,长信基金管理公司,1.4544,2022-01-28,7
2015-03-12,001048,孙权,10亿,富国新兴产业股票,富国基金管理有限公司,1.4760,2022-02-28,9
2018-02-11,005621,郭睿,7亿,中欧品质消费股票C,中欧基金管理公司,1.4139,2018-02-11,12
